symbol,price,market_cap,enterprise_value,pe,pb,ps,peg,dividend_yield
GOOGL,330.54,4003540762624,3934325309440,32.694363,10.318734,,,0.25
AAPL,248.35,3669707194368,3727387262976,33.33557,49.759567,,,0.42
MSFT,451.14,3353398738944,3371405934592,32.041195,9.237101,,,0.81
AMZN,234.34,2505145057280,2571386224640,33.09887,6.7753778,,,
ORCL,178.18,511934267392,624404332544,33.42964,17.091606,,,1.12
CSCO,74.33,293684871168,307585843200,28.698843,6.2446446,,,2.21
IBM,294.67,275438436352,327237435392,35.079765,9.8707,,,2.28
SAP,226.35,264103919616,263092404224,32.15199,5.2731576,,,1.16
INTC,54.32,259106390016,285078388736,,2.4336917,,,
CRM,228.09,217141673984,214032334848,30.493315,3.5797353,,,0.73
ADBE,299.73,125466984448,123098161152,17.958658,10.650251,,,
