year,projected_fcf,cagr,scenario
2025,83790351341.10136,0.13121668859744529,optimistic
2026,94785043780.49721,0.13121668859744529,optimistic
2027,107222423353.93791,0.13121668859744529,optimistic
2028,121291794689.83504,0.13121668859744529,optimistic
2029,137207302343.07639,0.13121668859744529,optimistic
2025,83790351341.10136,0.13121668859744529,pessimistic
2026,94785043780.49721,0.13121668859744529,pessimistic
2027,107222423353.93791,0.13121668859744529,pessimistic
2028,121291794689.83504,0.13121668859744529,pessimistic
2029,137207302343.07639,0.13121668859744529,pessimistic
